,slide_id,case_id,magnification,level_downsamples
769,TCGA-QH-A65S-01Z-00-DX1.CEE3136E-5CFE-41A6-989C-8F61A12D9862,TCGA-QH-A65S,40x,"(1.0, 4.000044008273555, 16.0012323943662, 32.005326019061435)"
770,TCGA-QH-A65V-01Z-00-DX1.90506158-FEBB-4CE2-A017-9387A9ADDED3,TCGA-QH-A65V,40x,"(1.0, 4.000042918454936, 16.000171673819743, 32.00529512338034)"
771,TCGA-QH-A65X-01Z-00-DX1.7791978D-0E39-43A9-8834-9D1E29FA526A,TCGA-QH-A65X,40x,"(1.0, 4.000081132404144, 16.001994158488266, 32.006460862915674)"
772,TCGA-QH-A65Z-01Z-00-DX1.33A27DCF-3B96-468B-AF2C-6F394EFA44EF,TCGA-QH-A65Z,40x,"(1.0, 4.0, 16.00102594547032, 32.00503821912427)"
773,TCGA-QH-A6CS-01Z-00-DX1.E45E2C78-9287-41CB-897B-EF6349147105,TCGA-QH-A6CS,40x,"(1.0, 4.000050556117291, 16.000202224469163, 32.00662919657202)"
774,TCGA-QH-A6CU-01Z-00-DX1.617578E5-B19E-426A-98BE-CD2ADAD533B5,TCGA-QH-A6CU,40x,"(1.0, 4.000027403266469, 16.00098662573997, 32.00548245614035)"
775,TCGA-QH-A6CV-01Z-00-DX1.9DCB8BF5-AE89-4D03-9892-F689B41320D0,TCGA-QH-A6CV,40x,"(1.0, 4.000048426150121, 16.001676330898697, 32.00335266179739)"
776,TCGA-QH-A6CW-01Z-00-DX1.08892E79-CE6E-41BA-9070-740335844F2C,TCGA-QH-A6CW,40x,"(1.0, 4.000023688823613, 16.0012319939348, 32.00545240774259)"
777,TCGA-QH-A6CX-01Z-00-DX1.EBB9DC1A-C774-48BF-942F-89837EE940DE,TCGA-QH-A6CX,40x,"(1.0, 4.0, 16.00100194185251, 32.0075534990005)"
778,TCGA-QH-A6CY-01Z-00-DX1.1CB3CC89-98CA-4865-8203-E7713A412E30,TCGA-QH-A6CY,40x,"(1.0, 4.000045339136743, 16.00018135654697, 32.00256717713363)"
779,TCGA-QH-A6CZ-01Z-00-DX1.90849167-11DA-4E74-900B-6D6449099A51,TCGA-QH-A6CZ,40x,"(1.0, 4.000050342327829, 16.000201369311316, 32.00368277142296)"
780,TCGA-QH-A6X3-01Z-00-DX1.FFC6757C-ED6A-4840-801F-CAB521558AE1,TCGA-QH-A6X3,40x,"(1.0, 4.000137621886224, 16.00206906498635, 32.0100124399379)"
781,TCGA-QH-A6X4-01Z-00-DX1.59C962C6-B2F6-4156-BA5F-ADAEF54BA4D8,TCGA-QH-A6X4,40x,"(1.0, 4.000131043471881, 16.002621217547606, 32.00771498103435)"
782,TCGA-QH-A6X5-01Z-00-DX1.A5F05E37-81B8-4390-8C0B-4DD1FDBC3853,TCGA-QH-A6X5,40x,"(1.0, 4.000134607416277, 16.0020087582141, 32.00976307615134)"
783,TCGA-QH-A6X8-01Z-00-DX1.9FB9444F-980D-4C73-8241-11D44C61CCE6,TCGA-QH-A6X8,40x,"(1.0, 4.000047064729692, 16.00134154326975, 32.00469185916897)"
784,TCGA-QH-A6X9-01Z-00-DX1.D8ECA1DD-68D3-4987-9B23-1F9FA81955E0,TCGA-QH-A6X9,40x,"(1.0, 4.000124437269259, 16.001593276806865, 32.006108894505914)"
785,TCGA-QH-A6XA-01Z-00-DX1.7B4C2D32-6621-4109-8B13-7620D1E07A0D,TCGA-QH-A6XA,40x,"(1.0, 4.000071718862061, 16.00269165403905, 32.00873672680024)"
